,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
1952,Incident on #ALine at Utica Avenue Station https://t.co/1pY3SQ1KC6,1.0,0.0,incident aline utica avenue station https co 1p y3sq1kc6 ,40.67052547011378,-73.93095507985318
1953,Cleared: Incident on #3Line at New Lots Avenue Station,0.851,0.1027,cleared incident 3line new lots avenue station ,40.65683331566243,-73.90448409814742
1954,Updated: Incident on #AtlanticLine at Lindenwold Station https://t.co/OaADnDQ0vw,1.0,0.0,updated incident atlantic line lindenwold station https co oa adn dq0vw ,40.71455000000003,-74.00713999999994
1955,Updated: Incident on #AllTrains at Grand Central Terminal https://t.co/lWo7yP5LOL,0.727,0.4588,updated incident trains grand central terminal https co l wo7y p5lol ,40.75212450012006,-73.97758029197702
1956,Updated: Construction on #VariousBus at 181st Street: Amsterdam Avenue https://t.co/GlwNA4HI6f,1.0,0.0,updated construction various bus 181st street amsterdam avenue https co glw na4hi6f ,40.776233491849254,-73.98329484927619
1957,Cleared: Closure on #NJ73 SB at South of US 30,0.865,0.1027,cleared closure new jersey 73 sb south us 30 ,40.67813953416336,-73.89638817584903
1958,Construction on #I95 SB at Westchester Avenue https://t.co/M7E9SmikKf,1.0,0.0,construction i95 sb westchester avenue https co m7e9smik kf ,40.64306445449735,-73.98344781900914
1959,Cleared: Incident on #B14Bus from Junius Street : Blake Avenue to Mother Gaston Boulevard : Blake Avenue,0.909,0.1027,cleared incident b14bus junius street blake avenue mother gaston boulevard blake avenue ,40.674777508675895,-73.90437296596784
1960,Closure on #VerrazanonarrowsBridge EB https://t.co/XdOLbWn7AI,1.0,0.0,closure verrazanonarrows bridge eb https co xd olb wn7ai ,40.71455000000003,-74.00713999999994
1961,Incident on #I90 WB from Exit 10; Miller Road to Exit 9; US 4 https://t.co/RrfBygrrFx,1.0,0.0,incident i90 wb exit 10 miller road exit 9 us 4 https co rrf bygrr fx ,40.71455000000003,-74.00713999999994
1962,Construction on #I678 SB from Exit 6 -  Jamaica Avenue to Atlantic Avenue https://t.co/1wka717dbU,1.0,0.0,construction i678 sb exit 6 jamaica avenue atlantic avenue https co 1wka717db u ,40.70325622206329,-73.80027348636848
1963,Construction on #VerrazanonarrowsBridge WB https://t.co/0qCftWE164,1.0,0.0,construction verrazanonarrows bridge wb https co 0q cft we164 ,40.71455000000003,-74.00713999999994
1964,Updated: Incident on #3Line at New Lots Avenue Station https://t.co/eEjrVvLOK7,1.0,0.0,updated incident 3line new lots avenue station https co e ejr vv lok7 ,40.65683331566243,-73.90448409814742
1965,Incident on #JLine at Broad Street Station https://t.co/gi9K7bdzUt,1.0,0.0,incident jline broad street station https co gi9k7bdz ut ,40.706707173262856,-74.01092921479326
1966,Construction on #QueensMidtownTunnel WB at Manhattan Bound https://t.co/QuKSb1TzrN,1.0,0.0,construction queens midtown tunnel wb manhattan bound https co qu ksb1tzr n ,40.714000000000055,-73.82998999999995
1967,Construction on #I278 EB from 86th Street to 72nd Street https://t.co/Y9M6PNx7YB,1.0,0.0,construction i278 eb 86th street 72nd street https co y9m6pnx7yb ,40.6351416281588,-74.0339458519751
1968,Cleared: Construction on #NorthernBoulevard EB from Boat Basin Place to Seaver Way,0.887,0.1027,cleared construction nohern boulevard eb boat basin place seaver way  ,40.75804027877888,-73.84460457659624
1969,Cleared: Incident on #CityLine at Atlantic City Station,0.833,0.1027,cleared incident city line atlantic city station ,40.676210000000026,-73.88707999999997
1970,Construction on #NJ3 Both directions from Park Ave to NJ 17 https://t.co/f4vb2HSGlp,1.0,0.0,construction new jersey 3 directions park ave new jersey 17 https co f4vb2hsglp ,40.74675702059022,-73.98143708425637
1971,Construction on #NY100 Both directions at Cross County Parkway https://t.co/XdUFj7Wzgu,1.0,0.0,construction new york 100 directions cross county park way https co xd ufj7wzgu ,40.71455000000003,-74.00713999999994
1972,Closure on #QueensboroBridge EB from Manhattan Side to Queens Side https://t.co/mVB1X71PNQ,1.0,0.0,closure queens boro bridge eb manhattan side queens side https co vb1x71pnq ,40.714000000000055,-73.82998999999995
1973,Updated: Construction on #VerrazanonarrowsBridge WB https://t.co/0qCftWE164,1.0,0.0,updated construction verrazanonarrows bridge wb https co 0q cft we164 ,40.71455000000003,-74.00713999999994
1974,Cleared: Incident on #RockawayBus from Beach Channel Drive and B.35th Street to Rockaway Ferry Terminal,0.909,0.1027,cleared incident rocka way bus beach channel drive b 35th street rocka way ferry terminal ,40.58267158290901,-73.83516872154233
1975,Cleared: Incident on #ServiceBus from Rockaway Point Blvd and B.169th St to Rockaway Ferry Terminal,0.909,0.1027,cleared incident service bus rocka way point blvd b 169th st rocka way ferry terminal ,40.56754240911246,-73.88274419289311
1976,Cleared: Incident on #QueensBus from Archer Av and Sutphin Blvd to Archer Av : 150 St,0.909,0.1027,cleared incident queens bus archer av sutphin blvd archer av 150 st ,40.714000000000055,-73.82998999999995
1977,Cleared: Incident on #NY55 WB from Route 22; Ramp to Old Route 55,0.896,0.1027,cleared incident new york 55 wb route 22 ramp old route 55 ,40.71455000000003,-74.00713999999994
1978,Cleared: Incident on #ShuttleBus from Rockaway Point Blvd and B.169th St to Rockaway Ferry Terminal,0.909,0.1027,cleared incident shuttle bus rocka way point blvd b 169th st rocka way ferry terminal ,40.56754240911246,-73.88274419289311
1979,Construction on #HenryHudsonParkway SB from 82nd Street to 72nd Street https://t.co/7fAapOt17k,1.0,0.0,construction henry hudson park way sb 82nd street 72nd street https co 7f aap ot17k ,40.63517389848601,-74.03408331518717
1980,Cleared: Incident on #GardenStateParkway NB at North of Exit 116 - PNC Arts Center,0.896,0.1027,cleared incident garden state park way nb noh exit 116 pnc center ,40.71455000000003,-74.00713999999994
1981,Construction on #S15N NB at Exit 89 (I-91 NB) https://t.co/4Sbrc9sOjB,1.0,0.0,construction s15n nb exit 89 91 nb https co 4sbrc9s oj b ,40.71455000000003,-74.00713999999994
1982,Construction on #BronxwhitestoneBridge SB https://t.co/2JhWrQk1uA,1.0,0.0,construction bronx whitestone bridge sb https co 2jh wr qk1u ,40.71455000000003,-74.00713999999994
1983,Cleared: Incident on #EastRiverFerryRoute Both directions from Wall Street/Pier 11 to East 34th Street,0.903,0.1027,cleared incident east river ferry route directions wall street pier 11 east 34th street ,40.74822573454868,-73.98387653067044
1984,Incident on #NY9A SB at West 11th Street https://t.co/pr654WWEyW,1.0,0.0,incident new york 9a sb west 11th street https co pr654wwey w ,40.73423043155049,-73.99534011388079
1985,Cleared: Incident on #RockawayBus from Rockaway Point Blvd and B.169th St to Rockaway Ferry Terminal,0.909,0.1027,cleared incident rocka way bus rocka way point blvd b 169th st rocka way ferry terminal ,40.562963005978496,-73.89936905066634
