,CRASH TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,distance,severity,neutral sentiment,target
144,925,40.776604,-73.94663,1,0,0,0,0,0,1,0,4364088,609,64,0,1
145,18,40.8733,-73.853645,1,0,0,0,0,0,1,0,4367642,472,9,1,1
146,1520,40.795383,-73.92994,0,0,0,0,0,0,0,0,4366884,173,42,0,1
147,100,40.667778000000006,-73.780846,0,0,0,0,0,0,0,0,4371097,525,11,0,1
148,330,40.68645,-73.761185,0,0,0,0,0,0,0,0,4367116,798,6,1,1
149,1330,40.588561999999996,-73.96853,0,0,0,0,0,0,0,0,4368092,371,48,1,1
150,2119,40.65818,-73.92465,1,0,0,0,0,0,1,0,4360478,896,17,1,1
151,750,40.71479,-73.77486999999999,0,0,0,0,0,0,0,0,4372359,308,14,1,1
152,2321,40.814170000000004,-73.93431,0,0,0,0,0,0,0,0,4360470,51,63,0,1
153,1330,40.627186,-73.9431,0,0,0,0,0,0,0,0,4366203,606,6,0,1
154,813,40.882217,-73.88046,1,0,0,0,1,0,0,0,4360174,52,8,0,1
155,115,40.629985999999995,-73.97157,0,0,0,0,0,0,0,0,4365229,123,44,0,1
156,55,40.761772,-73.89599,1,0,0,0,0,0,1,0,4370012,232,25,0,1
157,1400,40.64632,-73.92981,0,0,0,0,0,0,0,0,4370338,1020,10,1,1
158,1445,40.758140000000004,-73.83516999999999,1,0,0,0,1,0,0,0,4364182,747,18,0,1
159,1257,40.833447,-73.887955,0,0,0,0,0,0,0,0,4362923,188,30,1,1
160,1200,40.620323,-74.02723,0,0,0,0,0,0,0,0,4370388,159,32,1,1
161,725,40.70145,-73.98962399999999,0,0,0,0,0,0,0,0,4360682,71,230,1,1
162,1430,40.750313,-73.89549,0,0,0,0,0,0,0,0,4364567,183,16,0,1
163,1659,40.734295,-73.85031,0,0,0,0,0,0,0,0,4366696,1187,12,0,1
164,827,40.656240000000004,-73.93669,2,0,0,0,1,0,1,0,4360648,170,26,1,1
165,1630,40.69733,-73.76201999999999,0,0,0,0,0,0,0,0,4367114,623,4,1,1
166,1000,40.805836,-73.94691,0,0,0,0,0,0,0,0,4361204,293,57,1,1
167,1830,40.859974,-73.900795,1,0,1,0,0,0,0,0,4370629,86,37,1,1
168,1947,40.832214,-73.90344,0,0,0,0,0,0,0,0,4360809,722,39,1,1
169,837,40.79423,-73.94695,0,0,0,0,0,0,0,0,4359493,443,47,0,1
170,1643,40.60058,-73.99161,0,0,0,0,0,0,0,0,4371215,373,36,0,1
171,1741,40.8917,-73.84131,2,0,0,0,0,0,2,0,4362999,488,5,1,1
172,2355,40.757042,-73.87119,0,0,0,0,0,0,0,0,4363586,947,11,1,1
173,830,40.705856,-73.72729,1,0,0,0,0,0,1,0,4361982,454,7,1,1
174,1511,40.859253,-73.88674,0,0,0,0,0,0,0,0,4371285,189,25,0,1
175,1600,40.722324,-74.01178,1,0,1,0,0,0,0,0,4371064,263,275,1,1
176,1315,40.709286,-73.91019,1,0,1,0,0,0,0,0,4369709,201,39,1,1
177,1200,40.69075,-73.937294,0,0,0,0,0,0,0,0,4372651,213,76,1,1
178,2310,40.668648,-73.92835,2,0,0,0,0,0,2,0,4369323,105,47,1,1
179,900,40.744465000000005,-73.77179,0,0,0,0,0,0,0,0,4369358,676,9,1,1
